,date,description,notes,species,strain,genotype,age,sex,weight,solution,internal,temperature,important,expUnit,slice_slice,slice_notes,slice_location,slice_orientation,important.1,cell_cell,cell_notes,cell_type,cell_location,cell_important,data_incomplete,data_complete,data_images
10,2018.03.23_000wnotes,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_000,"Smaller cell, it's all Vclamp, but I'm guessing transtrial? Too deep for cartwheel? Unfortunately it exploded before imaging. About 5 minutes before acquiring cell I accidentally BLASTED the slice with the blue LED through the 3 filter (instead of 5), giving it a ton of blue. Is that why there's so much spontaneous activity??",unknown, ,False, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001",Images:   1
11,2018.03.26_000,"p61 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 313 - No additional sucrose), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices didn't cut or release well. Too much fibrous dura, etc on the surface???",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p61,F, ,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_000,"Big beautiful cell, a little leaky (200-300pA), a LOT of spontaneous activity in high Cl-, lots of glycine??   Didn't do strychnine because I could figure out the responses...",pyramidal,DCN layer II,True, ,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:  15, Videos:  13"
12,2018.03.26_000,"p61 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 313 - No additional sucrose), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices didn't cut or release well. Too much fibrous dura, etc on the surface???",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p61,F, ,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_001, ,pyramidal, ,True,VGAT_5mspulses_5Hz_pt06_to_pt5_000_ABORT.V.5/195,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt06_to_pt5_001, VGAT_5mspulses_5Hz_pt06_to_pt5_002_strych, VGAT_5mspulses_5Hz_pt06_to_pt5_003_washout","Images:  20, Videos:  12"
13,2018.03.26_000,"p61 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 313 - No additional sucrose), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices didn't cut or release well. Too much fibrous dura, etc on the surface???",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p61,F, ,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_000,"Response is inconsistent and weird. Nice fill. From now on, no blocking glycine receptors until the last slice of the day. Strychnine sucks...",pyramidal, , , ,"VCIV_simple_000, VCIV_simple_001, VCIV_simple_002, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003, VGAT_5mspulses_5Hz_pt045_to_pt1_004, VGAT_5mspulses_5Hz_pt045_to_pt1_005","Images:  22, Videos:  18"
14,2018.03.26_000,"p61 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 313 - No additional sucrose), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices didn't cut or release well. Too much fibrous dura, etc on the surface???",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p61,F, ,Standard ACSF,Cesium,34C,True,True,slice_002, , , , ,cell_000, ,unknown, , ,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.44/175,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt06_to_pt5_000, VGAT_5mspulses_5Hz_pt06_to_pt5_001","Images:   2, Videos:   7"
15,2018.03.27_000,"p62 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 318 - 2g sucrose/400 mL), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut ok, still a llittle fibrous and difficult","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  2 good transtrial cells, nice direct and synaptic responses, all from deeper layers? No strychnine - tricky to separate spontaneous from synaptic, but good, large laser responses...",CBA Mouse,VGAT,het,p62,F,20g,Standard ACSF,Cesium,34C,True,True,slice_001, ,Deeper DCN slice, ,True,cell_000, ,pyramidal, ,True,VGAT_20mspulses_5Hz_pt045_to_pt1_001_NOLIGHT.V.19/221,"VCIV_simple_000, VCIV_simple_001, VGAT_20mspulses_5Hz_pt045_to_pt1_000, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002","Images:  20, Videos:  18"
16,2018.03.27_000,"p62 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 318 - 2g sucrose/400 mL), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut ok, still a llittle fibrous and difficult","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  2 good transtrial cells, nice direct and synaptic responses, all from deeper layers? No strychnine - tricky to separate spontaneous from synaptic, but good, large laser responses...",CBA Mouse,VGAT,het,p62,F,20g,Standard ACSF,Cesium,34C,True,True,slice_001, ,Deeper DCN slice, ,True,cell_001,"Nice cell, smaller and not as good as cell000, but very light sensitive, lots of synaptic input. These transtrial cells are CRAZY with their interconnections...",tuberculoventral,DCN layer III,True,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.10/225,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001",Images:   4
17,2018.04.02_000,"p68 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 327 - watered from 339, pH overshoot), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 327, extra sucrose) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good, recordings are NOT great.","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  2 ok transtrial cell, one poorly accessed pyramidal cell. ",CBA Mouse,vGAT,het,p68,f,20g,Standard ACSF,Cesium,34C, ,True,slice_000,"2nd or 3rd slice from top, nice", , , ,cell_000,"Decent cell, ok access improving.. Clear direct response, lots of nice synaptic inputs. A little concerned about synaptic activity increasing after light and staying high...  Early fill was poor under low res, cell exploded during last run, images are poor...",tuberculoventral,DCN layer III,True,VGAT_20mspulses_5Hz_pt035_to_pt06_001.V.87/230,"VCIV_simple_000, VGAT_20mspulses_5Hz_pt035_to_pt06_000, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:   2, Videos:   6"
18,2018.04.02_000,"p68 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 327 - watered from 339, pH overshoot), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 327, extra sucrose) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good, recordings are NOT great.","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  2 ok transtrial cell, one poorly accessed pyramidal cell. ",CBA Mouse,vGAT,het,p68,f,20g,Standard ACSF,Cesium,34C, ,True,slice_001,"Same side as 000, next slice up, fairly close to top (dorsal?) surface of DCN..", , , ,cell_000,"nice cell, poor access. All cartwheel connections????",pyramidal,DCN Layer II,True,VGAT_5mspulses_5Hz_pt06_to_pt5_000.V.46/250,"VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_cell_attached, VGAT_5mspulses_5Hz_pt06_to_pt5_001","Images:   3, Videos:   1"
19,2018.04.04_000,"p70 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good,  ","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  One spectacular pyramidal cell (slice_001, cell_000)  One not great cartwheel cell (slice_003, cell_000)",CBA Mouse,VGAT,het,p70,f,21g,Standard ACSF,Cesium,34C,True,True,slice_000, , , , ,cell_000, , , , , ,VCIV_simple_000,No Images or Videos
20,2018.04.04_000,"p70 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good,  ","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  One spectacular pyramidal cell (slice_001, cell_000)  One not great cartwheel cell (slice_003, cell_000)",CBA Mouse,VGAT,het,p70,f,21g,Standard ACSF,Cesium,34C,True,True,slice_000, , , , ,cell_001,Nice tuberculoventral cell. LOTS of spontaneous activity. Blew up after first mapping run trying to get access back to acceptable... Grrrr.,tuberculoventral, ,True, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:   2, Videos:   3"
21,2018.04.04_000,"p70 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good,  ","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  One spectacular pyramidal cell (slice_001, cell_000)  One not great cartwheel cell (slice_003, cell_000)",CBA Mouse,VGAT,het,p70,f,21g,Standard ACSF,Cesium,34C,True,True,slice_001, , , ,True,cell_000,BIG BEAUTIFUL PYRAMIDAL CELL!!  Amazing cartwheel responses. Limited TV responses. ,pyramidal, ,True, ,"VCIV_simple_000, VCIV_simple_001, VCIV_simple_002, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000, VGAT_20mspulses_5Hz_pt045_to_pt1_000_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt06_to_pt5_000","Images:   9, Videos:   7"
22,2018.04.04_000,"p70 (DOB 1/24/2018), 20g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, slices cut look good, cells look good,  ","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  One spectacular pyramidal cell (slice_001, cell_000)  One not great cartwheel cell (slice_003, cell_000)",CBA Mouse,VGAT,het,p70,f,21g,Standard ACSF,Cesium,34C,True,True,slice_003, , , ,True,cell_000,"not a bad recording, but a ton of spontaneous activity, some nice direct responses, hard to make too much out of it..",cartwheel, ,True, ,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:   5, Videos:   8"
23,2018.04.06_000,"p66 (DOB 1/30/2018), 16g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial one side, 350 um coronal on other..","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  1 good cartwheel cell, lots of maps w/ and w/o strychnine (2 uM)",CBA Mouse,vGAT,het,p66,f,16g,Standard ACSF,Cesium,34C,True,True,slice_000, , , , ,cell_000,"Great cell, lost access and then cell during middle of first run. A bit of control (no light) map, then most of a light map. Cell was 10 Mohm access, 200 pA leak, then _____.  Lots of huge, pretty sponts, not much evoked, some direct...",cartwheel, , ,"VGAT_5mspulses_5Hz_pt045_to_pt1_000_NOLIGHT.V.52/208, VGAT_5mspulses_5Hz_pt045_to_pt1_001.V.114/208",VCIV_simple_000,"Images:   4, Videos:   3"
24,2018.04.06_000,"p66 (DOB 1/30/2018), 16g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial one side, 350 um coronal on other..","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  1 good cartwheel cell, lots of maps w/ and w/o strychnine (2 uM)",CBA Mouse,vGAT,het,p66,f,16g,Standard ACSF,Cesium,34C,True,True,slice_000, , , , ,cell_001, , , , , , ,Images:   1
25,2018.04.06_000,"p66 (DOB 1/30/2018), 16g VGAT female, cut in Ting HEPES/NMDG (Osm 310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 310) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial one side, 350 um coronal on other..","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  1 good cartwheel cell, lots of maps w/ and w/o strychnine (2 uM)",CBA Mouse,vGAT,het,p66,f,16g,Standard ACSF,Cesium,34C,True,True,slice_001, , , ,True,cell_000,"Beautiful, ok access, LOTS of maps, washed in strychnine for isolated responses. A lot of spontaneous activity early, settled down after 1st run..",cartwheel,Lower layer 1/2 DCN,True, ,"VCIV_simple_000, VCIV_simple_001, VCIV_simple_002, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003, VGAT_5mspulses_5Hz_pt045_to_pt1_004, VGAT_5mspulses_5Hz_pt045_to_pt1_005, VGAT_5mspulses_5Hz_pt045_to_pt1_006, VGAT_5mspulses_5Hz_pt045_to_pt1_007","Images:  11, Videos:   7"
26,2018.04.09_000,"p69 (DOB 1/30/2018), 19g VGAT female, cut in Ting HEPES/NMDG (Osm 315, 1.2 g/400 mL sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 313, 0.8 g/250 mL sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both  sides",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  Carboxygen flow to slices stopped by crimp in tubing. Nothing worthwhile.  TRASH!!!,CBA Mouse,VGAT,het,p69,f,19g,Standard ACSF,Cesium,34C,False,True,slice_000, , , , ,cell_000,"Nice cell, sealed up very early, some nice traces but no map",pyramidal, ,True,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.68/216,VCIV_simple_000,"Images:   2, Videos:   1"
